node,node_dc,latitude,longitude,urban_group,air_region,airport_name
UYN,0.098851,38.358264,109.599254,none,none,Yulin Yuyang Airport 
TXN,0.096552,29.730427,118.261088,none,none,Huangshan Tunxi International Airport 
YBP,0.091954,28.797781,104.550293,none,none,Yibin Caiba Airport 
LZO,0.091954,29.030001,105.470001,none,none,Luzhou Yunlong Airport 
YIW,0.087356,29.344563,120.028809,yrd,none,Yiwu Airport 
TVS,0.087356,39.720066,118.006926,bth,none,Tangshan Sannuhe Airport 
NAO,0.087356,30.793442,106.168002,none,none,Nanchong Gaoping Airport 
NNY,0.087356,32.98,112.610001,none,none,Nanyang Jiangying Airport 
NBS,0.087356,42.071926,127.609218,none,none,Baishan Changbaishan Airport 
LZH,0.085057,24.204142,109.398889,none,none,Liuzhou Bailian Airport 
JHG,0.085057,21.972467,100.76475,none,none,Jinghong Xishuangbanna Gasa Airport 
HZG,0.082759,33.131684,107.207614,none,none,Hanzhong Chenggu Airport 
CGD,0.082759,28.91888,111.640198,none,none,Changde Taohuayuan Airport 
CIH,0.082759,36.247454,113.131759,none,none,Changzhi Wangcun Airport 
HDG,0.078161,36.523888,114.43,bth,none,Handan Airport 
FUG,0.078161,32.879154,115.740674,none,none,Fuyang Xiguan Airport 
TGO,0.078161,43.55666,122.199699,none,none,Tongliao Airport 
RIZ,0.078161,35.402879,119.331808,none,none,Rizhao Shanzihe Airport 
ACX,0.078161,25.082371,104.962212,none,none,Xingyi Wanfenglin Airport 
DOY,0.073563,37.503772,118.79283,none,none,Dongying Shengli Airport 
LFQ,0.073563,36.131668,111.658058,none,none,Linfen Qiaoli Airport 
YIN,0.073563,43.957321,81.33329,none,none,Yining Airport 
LPF,0.073563,26.602572,104.972842,none,none,Liupanshui Yuezhao Airport 
HSN,0.073563,29.932602,122.364994,yrd,none,Zhoushan Putuoshan Airport 
HJJ,0.073563,27.442036,109.709861,none,none,Huaihua Zhijiang Airport 
NZH,0.071264,49.569633,117.337784,none,none,Manzhouli Xijiao Airport 
WUS,0.068966,27.698972,118.004959,none,none,Wuyishan Airport 
MXZ,0.068966,24.268999,116.103996,none,none,Meixian Airport 
ENH,0.068966,30.320278,109.485001,none,none,Enshi Xujiaping Airport 
JGS,0.068966,26.853279,114.742649,none,none,Ji'an Airport 
WEF,0.066667,36.646822,119.122362,none,none,Weifang Airport 
MDG,0.064368,44.52,129.559998,none,none,Mudanjiang Hailang Airport 
UCB,0.064368,41.127163,113.117591,none,none,Ulanqab Jining Airport 
KRY,0.064368,45.46725,84.956487,none,none,Karamay Airport 
HYN,0.064368,28.559344,121.430963,yrd,none,Huangyan Luqiao Airport 
KHG,0.064368,39.541251,76.024599,none,none,Kashgar Airport 
LLV,0.064368,37.684589,111.148478,none,none,Lyuliang Airport 
DAX,0.064368,31.135012,107.426888,none,none,Dazhou Heshi Airport 
XIC,0.062069,27.983669,102.186692,none,none,Xichang Qingshan Airport 
TLQ,0.05977,43.03159,89.102437,none,none,Turpan Jiaohe Airport 
HMI,0.05977,42.843005,93.664048,none,none,Hami Airport 
HLH,0.05977,46.200408,122.007318,none,none,Ulanhot Airport 
KJH,0.05977,26.972769,107.990529,none,none,Kaili Huangping Airport 
CIF,0.05977,42.159704,118.846745,none,none,Chifeng Yulong Airport 
YNJ,0.05977,42.885662,129.439362,none,none,Yanji Chaoyangchuan Airport 
AQG,0.05977,30.580776,117.055412,none,none,Anqing Tianzhushan Airport 
BPE,0.055172,39.667458,119.067308,bth,none, 
TCZ,0.055172,24.939379,98.482025,none,none,Tengchong Tuofeng Airport 
JDZ,0.055172,29.336129,117.181706,none,none,Jingdezhen Luojia Airport 
AVA,0.055172,26.25699,105.8774,none,none,Anshun Huangguoshu Airport 
JIQ,0.050575,29.5175,108.82917,none,none,Qianjiang Wulingshan Airport 
BSD,0.050575,25.055182,99.16143,none,none,Baoshan Yunduan Airport 
ENY,0.050575,36.475595,109.476005,none,none,Yan'an Ershilipu Airport 
DQA,0.050575,46.748684,125.139725,none,none,Daqing Sartu Airport 
LLF,0.050575,26.338661,111.610046,none,none,Yongzhou Lingling Airport 
IQN,0.050575,35.802506,107.604593,none,none,Qingyang Airport 
YKH,0.048276,40.540833,122.35833,none,none,Yingkou Lanqi Airport 
JMU,0.048276,46.845709,130.470506,none,none,Jiamusi Dongjiao Airport 
ZQZ,0.045977,40.74646,114.955452,bth,none,Zhangjiakou Ningyuan Airport 
WUA,0.045977,39.794299,106.805038,none,none,Wuhai Airport 
WGN,0.045977,26.801329,110.645745,none,none,Shaoyang Wugang Airport 
AKU,0.045977,41.263252,80.293103,none,none,Aksu Airport 
JUH,0.045977,30.738176,117.690942,yrd,none,Chizhou Jiuhuashan Airport 
ZAT,0.045977,27.323463,103.757591,none,none,Zhaotong Airport 
XAI,0.045977,32.539168,114.083454,none,none,Xinyang Minggang Airport 
LZY,0.041379,29.301565,94.336061,none,none,Nyingchi Mainling Airport 
SHF,0.041379,44.243677,85.895281,none,none,Shihezi Huayuan Airport 
RLK,0.041379,40.927157,107.744545,none,none,Bayannur Tianjitai Airport 
ERL,0.041379,43.426714,112.099704,none,none,Erenhot Saiwusu International Airport 
FUO,0.041379,23.080913,113.075983,prd,none,Foshan Shadi Airport 
YSQ,0.041379,44.93954,124.557144,none,none,Songyuan Chaganhu Airport
AAT,0.041379,47.751758,88.0869,none,none,Altay Airport 
SQD,0.041379,28.376586,117.968625,none,none,Shangrao Sanqingshan Airport 
DNH,0.041379,40.163706,94.807859,none,none,Dunhuang Airport 
NDG,0.03908,47.24241,123.924645,none,none,Qiqihar Sanjiazi Airport 
JNZ,0.036782,40.936111,121.276947,none,none,Jinzhou Bay Airport 
LUM,0.036782,24.399322,98.532412,none,none,Mangshi Airport 
AXF,0.036782,38.833507,105.668991,none,none,Alxa Right Banner Airport
JUZ,0.036782,28.962971,118.901832,none,none,Quzhou Airport 
JGN,0.036782,39.861578,98.341392,none,none,Jiayuguan Airport 
DIG,0.036782,27.789482,99.679921,none,none,Shangri-La Diqing Airport 
HTN,0.036782,37.038007,79.868983,none,none,Hotan Airport 
AEB,0.032184,23.718051,106.964852,none,none,Baise Bama Airport 
TCG,0.032184,46.67251,83.346901,none,none,Tacheng Airport 
LLB,0.032184,25.447687,107.966151,none,none,Libo Airport 
YIE,0.027586,46.200408,122.007318,none,none,Arxan Yiershi Airport 
GYS,0.027586,32.388634,105.699621,none,none,Guangyuan Panlong Airport 
PZI,0.027586,26.534456,101.799265,none,none,Panzhihua Bao'angong Airport 
LCX,0.027586,25.673066,116.751646,none,none,Longyan Guanzhishan Airport 
GXH,0.027586,34.82166,102.622647,none,none,Xiahe Gannan Airport 
SQJ,0.027586,26.422368,117.840008,none,none,Sanming Shaxian Airport 
XIL,0.025287,43.913873,115.966246,none,none,Xilinhot Airport 
JIC,0.022989,38.541918,102.35054,none,none,Jinchang Jinchuan Airport 
HZH,0.022989,26.318645,109.155032,none,none,Liping Airport 
JXA,0.022989,45.296389,131.199125,none,none,Jixi Airport 
AOG,0.022989,41.106456,122.860605,none,none,Anshan Teng'ao Airport 
LNL,0.022989,33.787803,105.795013,none,none,Longnan Cheng Xian Airport 
THQ,0.022989,34.558077,105.864711,none,none,Tianshui Maijishan Airport 
SYM,0.022989,22.79102,100.96042,none,none,Pu'er Simao Airport 
CDE,0.022989,41.122501,118.073891,none,none,Chengde Puning Airport 
ZHY,0.022989,37.573264,105.158118,none,none,Zhongwei Airport 
CHG,0.02069,41.541983,120.44019,none,none,Chaoyang Airport 
AHJ,0.018391,32.526648,102.359218,none,none,Aba Hongyuan Airport
NZL,0.018391,47.869621,122.768601,none,none,Zhalantun Chengjisihan Airport 
BPL,0.018391,44.898289,82.303693,none,none,Bole Alashankou Airport 
BPX,0.018391,30.548892,97.111194,none,none,Qamdo Bamda Airport 
GYU,0.018391,36.078195,106.222016,none,none,Guyuan Liupanshan Airport 
QSZ,0.018391,38.245878,77.062712,none,none,Shache Yeerqiang Airport 
DCY,0.018391,29.312192,100.063381,none,none,Daocheng Yading Airport 
WNH,0.018391,23.556375,104.328079,none,none,Wenshan Puzhehei Airport 
LDS,0.018391,27.803333,114.30806,none,none,Yichun Lindu Airport 
JGD,0.018391,50.374258,124.124526,none,none,Jiagedaqi Airport 
DDG,0.018391,40.025551,124.286598,none,none,Dandong Langtou Airport 
KCA,0.018391,41.679452,82.875522,none,none,Kuqa Qiuci Airport 
TNH,0.018391,42.032771,125.790631,none,none,Tonghua Sanyuanpu Airport 
KGT,0.018391,30.140162,101.741137,none,none,Kangding Airport 
HUO,0.016092,45.48492,119.41546,none,none,Holingol Huolinhe Airport 
YUS,0.013793,32.839466,97.037788,none,none,Yushu Batang Airport 
DBC,0.013793,45.508143,123.026293,none,none,BaiCheng ChangAn Airport
NLT,0.013793,43.433139,83.380912,none,none,Xinyuan Nalati Airport 
YZY,0.013793,38.805064,100.671783,none,none,Zhangye Ganzhou Airport 
HEK,0.013793,50.179364,127.320183,none,none,Heihe Airport 
OHE,0.013793,52.918043,122.432117,none,none,Mohe Gulian Airport 
JMJ,0.013793,22.41192,99.789519,none,none,Lancang Jingmai Airport 
HTT,0.013793,37.129769,97.266855,none,none,Huatugou Airport
RKZ,0.013793,29.348303,89.313836,none,none,Shigatse Peace Airport 
NLH,0.013793,27.540396,100.759709,none,none,Ninglang Luguhu Airport 
JSJ,0.009195,47.111009,132.672883,none,none,Jiansanjiang Airport 
NGQ,0.009195,32.099597,80.055558,none,none,Nagri Gunsa Airport
LNJ,0.009195,23.736707,100.02549,none,none,Lincang Airport 
KJI,0.009195,48.222971,87.000724,none,none,Burqin Kanas Airport 
FYJ,0.009195,48.206004,134.371681,none,none,Fuyuan Dongji Airport 
HXD,0.009195,37.129769,97.266855,none,none,Delingha Airport 
CWJ,0.009195,23.264479,99.367726,none,none,Cangyuan Washan Airport 
GOQ,0.009195,36.401596,94.788436,none,none,Golmud Airport
JZH,0.009195,32.851353,103.685263,none,none,Songpan Jiuzhai Huanglong Airport 
YYA,0.009195,29.310258,113.280938,none,none,Yueyang Sanhe Airport 
RQA,0.009195,38.973102,88.01569,none,none,Ruoqiang Loulan Airport
IQM,0.009195,38.144079,85.535451,none,none,Qiemo Airport
