flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
5081,36.266102,120.374397,40.084152,116.592735,2015,0.445977,none
5046,31.14337,121.805199,29.71921,106.641602,2015,0.772414,yrd
5020,40.084152,116.592735,36.266102,120.374397,2015,0.887356,bth
4979,36.51524,103.620697,34.438157,108.764819,2015,0.436782,none
4957,22.63925,113.8106,25.101944,102.929169,2015,0.63908,prd
4954,29.71921,106.641602,31.14337,121.805199,2015,0.696552,none
4920,34.438157,108.764819,36.51524,103.620697,2015,0.770115,none
4688,19.934851,110.4589,22.63925,113.8106,2015,0.526437,none
4684,40.084152,116.592735,18.302891,109.412201,2015,0.887356,bth
4677,40.084152,116.592735,43.996208,125.685303,2015,0.887356,bth
4672,18.302891,109.412201,40.084152,116.592735,2015,0.335632,none
4670,43.996208,125.685303,40.084152,116.592735,2015,0.264368,none
4647,22.63925,113.8106,19.934851,110.4589,2015,0.63908,prd
4615,34.519669,113.840797,25.101944,102.929169,2015,0.478161,none
4608,29.71921,106.641602,30.2295,120.434402,2015,0.696552,none
4602,30.57852,103.946999,29.29777,90.911942,2015,0.721839,none
4594,30.2295,120.434402,29.71921,106.641602,2015,0.602299,yrd
4584,25.101944,102.929169,34.519669,113.840797,2015,0.641379,none
4561,31.196099,121.339766,25.101944,102.929169,2015,0.358621,yrd
4548,41.263252,80.293103,43.907101,87.474243,2015,0.045977,none
4532,43.907101,87.474243,41.263252,80.293103,2015,0.337931,none
4513,29.29777,90.911942,30.57852,103.946999,2015,0.11954,none
4495,30.783751,114.208099,25.101944,102.929169,2015,0.425287,none
4484,25.101944,102.929169,30.783751,114.208099,2015,0.641379,none
4469,31.196099,121.339766,30.57852,103.946999,2015,0.358621,yrd
4420,30.57852,103.946999,31.196099,121.339766,2015,0.721839,none
4406,38.322769,106.393303,34.438157,108.764819,2015,0.331034,none
4387,34.438157,108.764819,30.57852,103.946999,2015,0.770115,none
4387,34.438157,108.764819,36.525322,102.037537,2015,0.770115,none
4386,30.57852,103.946999,34.438157,108.764819,2015,0.721839,none
4365,40.084152,116.592735,25.935061,119.6632,2015,0.887356,bth
4364,25.935061,119.6632,40.084152,116.592735,2015,0.374713,none
4333,25.101944,102.929169,31.196099,121.339766,2015,0.641379,none
