departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_region,arrival_region,departure_code,arrival_code,departure_EN,arrival_EN
成都,拉萨,10149,30.57852,103.946999,29.29777,90.911942,西南,西南,southWest,southWest,Chengdu,Lhasa
成都,杭州,10071,30.57852,103.946999,30.2295,120.434402,西南,华东,southWest,eastChina,Chengdu,Hangzhou
成都,南京,8059,30.57852,103.946999,31.742041,118.862,西南,华东,southWest,eastChina,Chengdu,Nanjing
成都,乌鲁木齐,7784,30.57852,103.946999,43.907101,87.474243,西南,西北,southWest,northWest,Chengdu,Urumqi
广州,上海,24879,23.392429,113.298698,31.196099,121.339766,华南,华东,southChina,eastChina,Guangzhou,Shanghai
广州,北京,20472,23.392429,113.298698,40.084152,116.592735,华南,华北,southChina,northChina,Guangzhou,Beijing
广州,成都,19290,23.392429,113.298698,30.57852,103.946999,华南,西南,southChina,southWest,Guangzhou,Chengdu
广州,杭州,17652,23.392429,113.298698,30.2295,120.434402,华南,华东,southChina,eastChina,Guangzhou,Hangzhou
广州,重庆,17135,23.392429,113.298698,29.71921,106.641602,华南,西南,southChina,southWest,Guangzhou,Chongqing
广州,南京,14560,23.392429,113.298698,31.742041,118.862,华南,华东,southChina,eastChina,Guangzhou,Nanjing
广州,西安,14252,23.392429,113.298698,34.438157,108.764819,华南,西北,southChina,northWest,Guangzhou,Xi'an
广州,昆明,13914,23.392429,113.298698,25.101944,102.929169,华南,西南,southChina,southWest,Guangzhou,Kunming
广州,海口,12114,23.392429,113.298698,19.934851,110.4589,华南,华南,southChina,southChina,Guangzhou,Haikou
广州,郑州,9230,23.392429,113.298698,34.519669,113.840797,华南,中部,southChina,central,Guangzhou,Zhengzhou
